Districts Search Results,,,,,,,,,,,,,,,,
Mon May 09 2022 at 3:16:26 PM,,,,,,,,,,,,,,,,
"130 results exported. Export results are limited to 11,000 records.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NCES District ID,State District ID,District Name,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type
5301380,WA-16020,Queets-Clearwater School District,Jefferson County,146000 HIGHWAY 101,FORKS,WASHINGTON,98331,9484,(360)962-2395,31,3.01,1,43,43-Rural: Remote,10.3,1-Regular local school district that is NOT a component of a supervisory union
5306990,WA-16048,Quilcene School District,Jefferson County,294715 HWY 101,QUILCENE,WASHINGTON,98376,0040,(360)765-3363,608,28.27,3,42,42-Rural: Distant,21.51,1-Regular local school district that is NOT a component of a supervisory union
5307080,WA-13144,Quincy School District,Grant County,119 J ST SW,QUINCY,WASHINGTON,98848,1330,(509)787-4571,3034,180.17,8,32,32-Town: Distant,16.84,1-Regular local school district that is NOT a component of a supervisory union
5300335,WA-17908,Rainier Prep Charter School District,King County,10211 S 12th Ave,Seattle,WASHINGTON,98168,    ,(206)494-5979,350,23.8,1,21,21-Suburb: Large,14.71,7-Independent Charter District
5307110,WA-34307,Rainier School District,Thurston County,207 CENTRE ST,RAINIER,WASHINGTON,98576,0098,(360)446-2207,922,50.62,3,42,42-Rural: Distant,18.21,1-Regular local school district that is NOT a component of a supervisory union
5300342,WA-17910,Rainier Valley Leadership Academy,King County,6020 Rainier Avenue S.,Seattle,WASHINGTON,98118,    ,(206)659-0956,320,22,1,11,11-City: Large,14.55,7-Independent Charter District
5307230,WA-17403,Renton School District,King County,300 SW 7TH ST,RENTON,WASHINGTON,98057,    ,(425)204-2300,16189,867.47,29,12,12-City: Mid-size,18.66,1-Regular local school district that is NOT a component of a supervisory union
5300325,WA-17941,Renton Technical College,King County,3000 NE 4TH STREET,RENTON,WASHINGTON,98056,4195,(425)243-2366,10,0,2,12,12-City: Mid-size,0,8-Other education agencies
5304560,WA-17407,Riverview School District,King County,15510 1st Ave NE,DUVALL,WASHINGTON,98019,    ,(425)844-4500,3405,183.63,9,21,21-Suburb: Large,18.54,1-Regular local school district that is NOT a component of a supervisory union
5307620,WA-13160,Royal School District,Grant County,901 Ahlers Rd,Royal City,WASHINGTON,99357,0486,(509)346-2222,1765,100.64,4,43,43-Rural: Remote,17.54,1-Regular local school district that is NOT a component of a supervisory union
